Year,Gender,Age,Non-School Qualifications
2014,Male,(15-24),416.0
2014,Male,(25-34),"1,221.0"
2014,Male,(35-44),"1,122.5"
2014,Male,(45-54),992.0
2014,Male,(55-64),824.9
2014,Male,(65-74),515.3
2014,Female,(15-24),474.4
2014,Female,(25-34),"1,243.1"
2014,Female,(35-44),"1,126.9"
2014,Female,(45-54),951.7
2014,Female,(55-64),703.5
2014,Female,(65-74),337.7
2014,All,(15-24),890.4
2014,All,(25-34),"2,467.9"
2014,All,(35-44),"2,251.1"
2014,All,(45-54),"1,944.1"
2014,All,(55-64),"1,527.6"
2014,All,(65-74),854.7
2015,Male,(15-24),484.2
2015,Male,(25-34),"1,269.2"
2015,Male,(35-44),"1,156.8"
2015,Male,(45-54),"1,006.6"
2015,Male,(55-64),845.0
2015,Male,(65-74),521.5
2015,Female,(15-24),513.0
2015,Female,(25-34),"1,287.2"
2015,Female,(35-44),"1,183.1"
2015,Female,(45-54),995.3
2015,Female,(55-64),736.4
2015,Female,(65-74),363.7
2015,All,(15-24),995.3
2015,All,(25-34),"2,558.5"
2015,All,(35-44),"2,340.3"
2015,All,(45-54),"2,000.6"
2015,All,(55-64),"1,582.3"
2015,All,(65-74),883.6
2016,Male,(15-24),446.9
2016,Male,(25-34),"1,259.1"
2016,Male,(35-44),"1,144.7"
2016,Male,(45-54),"1,044.5"
2016,Male,(55-64),848.1
2016,Male,(65-74),559.3
2016,Female,(15-24),518.2
2016,Female,(25-34),"1,300.5"
2016,Female,(35-44),"1,179.9"
2016,Female,(45-54),"1,015.6"
2016,Female,(55-64),774.9
2016,Female,(65-74),398.9
2016,All,(15-24),966.6
2016,All,(25-34),"2,560.1"
2016,All,(35-44),"2,322.8"
2016,All,(45-54),"2,060.4"
2016,All,(55-64),"1,621.7"
2016,All,(65-74),957.4
2017,Male,(15-24),442.9
2017,Male,(25-34),"1,291.0"
2017,Male,(35-44),"1,173.2"
2017,Male,(45-54),"1,048.6"
2017,Male,(55-64),878.1
2017,Male,(65-74),583.9
2017,Female,(15-24),479.1
2017,Female,(25-34),"1,367.9"
2017,Female,(35-44),"1,219.7"
2017,Female,(45-54),"1,028.7"
2017,Female,(55-64),789.0
2017,Female,(65-74),451.3
2017,All,(15-24),924.0
2017,All,(25-34),"2,657.8"
2017,All,(35-44),"2,391.6"
2017,All,(45-54),"2,076.3"
2017,All,(55-64),"1,668.3"
2017,All,(65-74),"1,035.6"
2018,Male,(15-24),435.5
2018,Male,(25-34),"1,340.1"
2018,Male,(35-44),"1,170.4"
2018,Male,(45-54),"1,061.3"
2018,Male,(55-64),890.9
